kategori,varian,nama,harga,aliases,satuan,isi,brand
"botol,330ml,Le Minerale Botol 330ml,48000,""le minerale botol 330ml|lem 330ml|lmnrle 330ml"",dus,24 botol,le minerale"
"botol,330ml,Nestle Botol 330ml,45000,""nestle botol 330ml|botol nestle 330ml|nes 330ml|pure life 330ml|purelife 330ml|pure lipe 330ml|purelife botol 330ml|pure life botol 330ml"",dus,24 botol,nestle"

"botol,400ml,Pristine Botol 400ml,66000,""pristine botol 400ml|prstin 400ml|pristine 400 ml|botol pristine 400ml|pristin 400ml|pristin botol 400ml"",dus,24 botol,pristine"

"cup,240ml,Aqua Cup 240ml,40000,""aqua cup 240ml|aqua gelas 240ml|gelas aqua 240ml|aqua 240 ml|aqua cup 240m"",dus,48 cup,aqua"
"cup,240ml,Oasis Cup 240ml,23000,""oasis cup 240ml|oasis gelas 240ml|oasis 240 ml|oasis cup 240m"",dus,48 cup,oasis"

"gas,12kg,Gas LPG 12 Kg,210000,""gas lpg 12kg|lpg 12kg|gas elpiji 12kg|gas 12 kg|tabung gas 12kg|tabung lpg 12kg"",tabung,1 tabung,lpg"
"gas,5.5kg,Gas Bright Gas 5.5 Kg,100000,""bright gas 5.5kg|bright 5.5kg|gas 5.5kg pink|bg 5.5kg|tabung bright gas 5.5kg"",tabung,1 tabung,lpg"
"gas,3kg,Gas LPG 3 Kg,24000,""gas lpg 3kg|lpg 3kg|gas elpiji 3kg|elpiji 3kg|gas 3kg|tabung gas 3kg|tabung lpg 3kg"",tabung,1 tabung,lpg"
